epoch,dense_4_accuracy,dense_4_loss,dense_9_accuracy,dense_9_loss,loss,val_dense_4_accuracy,val_dense_4_loss,val_dense_9_accuracy,val_dense_9_loss,val_loss
0,0.7893333435058594,4.505038261413574,0.42933332920074463,10.816837310791016,15.321876525878906,0.9480000138282776,2.018833875656128,0.25200000405311584,3.102715015411377,5.121549129486084
1,0.843999981880188,2.2458417415618896,0.4959999918937683,2.8811442852020264,5.126986026763916,0.2240000069141388,2.725680112838745,0.5519999861717224,1.6132835149765015,4.338963508605957
2,0.8253333568572998,1.474570631980896,0.5106666684150696,2.4208414554595947,3.8954122066497803,0.13600000739097595,2.534914016723633,0.5400000214576721,1.5900262594223022,4.124939918518066
3,0.7960000038146973,1.0875657796859741,0.5120000243186951,2.237957715988159,3.3255231380462646,0.9520000219345093,0.24397708475589752,0.5519999861717224,1.5358202457427979,1.7797973155975342
4,0.8560000061988831,1.066959023475647,0.5706666707992554,1.5882798433303833,2.655238628387451,0.9480000138282776,0.34293025732040405,0.5799999833106995,1.384475827217102,1.7274060249328613
5,0.8653333187103271,0.6592628359794617,0.6426666378974915,1.2392410039901733,1.8985040187835693,0.9359999895095825,0.20085391402244568,0.5759999752044678,1.3302375078201294,1.531091570854187
6,0.8866666555404663,0.3377271890640259,0.6200000047683716,1.1848806142807007,1.5226078033447266,0.9480000138282776,0.17700901627540588,0.5759999752044678,1.2572129964828491,1.4342221021652222
7,0.8999999761581421,0.3078107237815857,0.6679999828338623,1.0272269248962402,1.3350377082824707,0.9480000138282776,0.173139750957489,0.5479999780654907,1.631597876548767,1.8047375679016113
8,0.8853333592414856,0.2822940945625305,0.6346666812896729,1.102412223815918,1.3847062587738037,0.8840000033378601,0.29850372672080994,0.3959999978542328,1.492830514907837,1.7913343906402588
9,0.9039999842643738,0.2259044051170349,0.5920000076293945,1.260123610496521,1.4860281944274902,0.8600000143051147,0.3377915024757385,0.4560000002384186,1.3950417041778564,1.7328332662582397
10,0.9013333320617676,0.2562781572341919,0.653333306312561,1.0153590440750122,1.2716370820999146,0.9520000219345093,0.21247346699237823,0.5640000104904175,1.6755629777908325,1.8880364894866943
11,0.8866666555404663,0.3024689853191376,0.6399999856948853,1.163763403892517,1.4662322998046875,0.9480000138282776,0.18057826161384583,0.5519999861717224,1.8698318004608154,2.0504097938537598
12,0.9106666445732117,0.23004958033561707,0.637333333492279,1.1431447267532349,1.3731944561004639,0.800000011920929,0.43374428153038025,0.5759999752044678,1.5456056594848633,1.9793500900268555
13,0.8960000276565552,0.2591453790664673,0.6546666622161865,1.3565503358840942,1.615695595741272,0.9480000138282776,0.19634319841861725,0.5640000104904175,1.5467694997787476,1.7431126832962036
14,0.918666660785675,0.23568691313266754,0.6426666378974915,1.1570295095443726,1.3927162885665894,0.6800000071525574,0.6886228322982788,0.5680000185966492,1.4205480813980103,2.10917067527771
15,0.8560000061988831,0.5791805982589722,0.6973333358764648,0.9453174471855164,1.5244977474212646,0.9359999895095825,0.20448586344718933,0.5680000185966492,1.4052053689956665,1.6096911430358887
16,0.8920000195503235,0.3073920011520386,0.6786666512489319,0.9122266173362732,1.2196186780929565,0.8119999766349792,0.4217487573623657,0.4959999918937683,1.2983659505844116,1.7201147079467773
17,0.9133333563804626,0.21740835905075073,0.690666675567627,0.8658440113067627,1.0832525491714478,0.9520000219345093,0.20277628302574158,0.6079999804496765,1.1776620149612427,1.380438208580017
18,0.9160000085830688,0.2055249661207199,0.7293333411216736,0.7837252616882324,0.9892501831054688,0.9200000166893005,0.20115609467029572,0.41600000858306885,1.8061357736587524,2.0072920322418213
19,0.9120000004768372,0.20424017310142517,0.7106666564941406,0.8371962904930115,1.0414364337921143,0.9279999732971191,0.18670982122421265,0.47999998927116394,1.6346861124038696,1.821395993232727
20,0.8946666717529297,0.31508469581604004,0.6733333468437195,0.9852842688560486,1.3003690242767334,0.9520000219345093,0.21603724360466003,0.5799999833106995,1.3927252292633057,1.608762502670288
21,0.909333348274231,0.2553962469100952,0.7440000176429749,0.7255011200904846,0.9808973670005798,0.9520000219345093,0.17163600027561188,0.5519999861717224,1.7058721780776978,1.8775080442428589
22,0.9133333563804626,0.24278700351715088,0.734666645526886,0.8518744111061096,1.0946614742279053,0.9240000247955322,0.20328085124492645,0.5680000185966492,1.314555287361145,1.5178359746932983
